      Date ,BOPD,BWPD,Gas Rate,BLPD,Reservoir
31-May-75,125.06,1.03,272548,126.1,A-2
30-Jun-75,1163.23,9.6,2535000,1172.83,A-2
31-Jul-75,1750.97,12.48,3672774,1763.45,A-2
31-Aug-75,2125.84,17.97,4837839,2143.81,A-2
30-Sep-75,2120.37,29.47,4790433,2149.83,A-2
31-Oct-75,2377.23,18.1,5176065,2395.32,A-2
30-Nov-75,2816.63,6.17,6780433,2822.8,A-2
31-Dec-75,2630.06,11.42,7745581,2641.48,A-2
31-Jan-76,2076.55,8.35,5203613,2084.9,A-2
29-Feb-76,1658.31,3.45,3934552,1661.76,A-2
31-Mar-76,991.32,0.65,2289129,991.97,A-2
30-Apr-76,1431.5,2.63,2908600,1434.13,A-2
31-May-76,1607,0.84,3912452,1607.84,A-2
30-Jun-76,1267.97,2.03,3111433,1270,A-2
31-Jul-76,1406.19,6.61,3528645,1412.81,A-2
31-Aug-76,1240.39,4.23,3192323,1244.61,A-2
30-Sep-76,1212.13,4.07,3327967,1216.2,A-2
31-Oct-76,1142.61,0.87,2800710,1143.48,A-2
30-Nov-76,1117.33,1.97,3494867,1119.3,A-2
31-Dec-76,1190.97,0.61,3514806,1191.58,A-2
31-Jan-77,1126.55,2,3538645,1128.55,A-2
28-Feb-77,867.79,0.68,2411714,868.46,A-2
31-Mar-77,993.32,0.52,2999097,993.84,A-2
30-Apr-77,1209.67,7.8,3057533,1217.47,A-2
31-May-77,1113.71,0.61,2829516,1114.32,A-2
30-Jun-77,1170.17,2.27,3170233,1172.43,A-2
31-Jul-77,902.48,2.52,2228258,905,A-2
31-Aug-77,399.9,0.42,686226,400.32,A-2
31-Oct-77,580.26,0.29,725097,580.55,A-2
30-Nov-77,1095.17,0.57,1760567,1095.73,A-2
31-Dec-77,683.16,0.32,1100935,683.48,A-2
31-Jan-78,614.58,0.32,1104742,614.9,A-2
28-Feb-78,409.54,0.21,911929,409.75,A-2
31-Mar-78,318.84,0.16,705935,319,A-2
30-Apr-78,488.83,0.37,755033,489.2,A-2
31-May-78,1089.97,0.55,1682032,1090.52,A-2
30-Jun-78,1090.73,0.53,2324533,1091.27,A-2
31-Jul-78,1020.65,0.48,1941871,1021.13,A-2
31-Aug-78,1100.1,0.58,2654290,1100.68,A-2
30-Sep-78,1071.17,0.57,2516233,1071.73,A-2
31-Oct-78,995.52,0.52,2494645,996.03,A-2
30-Nov-78,1135.83,0.6,3464467,1136.43,A-2
31-Dec-78,999.29,0.52,3085645,999.81,A-2
31-Jan-79,1015,0.81,3407290,1015.81,A-2
28-Feb-79,996.29,0.5,3833143,996.79,A-2
31-Mar-79,888.74,0.42,2815161,889.16,A-2
30-Apr-79,700.9,0.33,2027600,701.23,A-2
31-May-79,580.97,0.29,1019871,581.26,A-2
30-Jun-79,431.33,0.2,650767,431.53,A-2
31-Jul-79,482.65,0.26,665710,482.9,A-2
31-Aug-79,1076.58,0.52,2786516,1077.1,A-2
30-Sep-79,1069.87,0.57,2579667,1070.43,A-2
31-Oct-79,1155.48,0.58,3034032,1156.06,A-2
30-Nov-79,1049.1,0.5,2676533,1049.6,A-2
31-Dec-79,953.23,0.45,2874968,953.68,A-2
31-Jan-80,967.81,0.48,2984806,968.29,A-2
29-Feb-80,977.03,1.66,3330103,978.69,A-2
31-Mar-80,848.87,1.19,2857935,850.06,A-2
30-Apr-80,817.77,1.23,2710867,819,A-2
31-May-80,632.29,1.32,1834935,633.61,A-2
30-Jun-80,673.9,1.2,2215233,675.1,A-2
31-Jul-80,663.68,0.32,1707258,664,A-2
31-Aug-80,820.35,1.29,2099000,821.65,A-2
30-Sep-80,1137.5,3.43,2984900,1140.93,A-2
31-Oct-80,1037.32,2.48,2910258,1039.81,A-2
30-Nov-80,820.67,1.3,2503433,821.97,A-2
31-Dec-80,644.68,0.65,1748258,645.32,A-2
31-Jan-81,436.06,0.23,602032,436.29,A-2
28-Feb-81,442.54,0.32,681750,442.86,A-2
31-Mar-81,791.87,1.26,1652806,793.13,A-2
30-Apr-81,1095.83,1.23,2869733,1097.07,A-2
31-May-81,1245.23,0.77,3092032,1246,A-2
30-Jun-81,894.03,0.67,2479767,894.7,A-2
31-Jul-81,705.94,0.9,1782000,706.84,A-2
31-Aug-81,857.97,0.61,2288968,858.58,A-2
30-Sep-81,820.8,1.83,1910733,822.63,A-2
31-Oct-81,853.58,0.42,2161387,854,A-2
30-Nov-81,812.93,0.73,2224700,813.67,A-2
31-Dec-81,804.16,0.97,2564452,805.13,A-2
31-Jan-82,824.84,0.65,2414355,825.48,A-2
28-Feb-82,655.79,0.36,1642179,656.14,A-2
31-Mar-82,549.29,1.13,1288871,550.42,A-2
30-Apr-82,599.13,0.67,1536400,599.8,A-2
31-May-82,453.23,0.23,1355258,453.45,A-2
30-Jun-82,516.33,0.27,1636333,516.6,A-2
31-Jul-82,468.55,0.23,1932871,468.77,A-2
31-Aug-82,436.84,0.71,1875742,437.55,A-2
30-Sep-82,418.77,0.27,1834067,419.03,A-2
31-Oct-82,754.65,2.23,2434129,756.87,A-2
30-Nov-82,1078.4,0.8,3037500,1079.2,A-2
31-Dec-82,1677.16,0.84,3105323,1678,A-2
31-Jan-83,1719,1.16,5742452,1720.16,A-2
28-Feb-83,1437.43,0.71,4611107,1438.14,A-2
31-Mar-83,1658.39,0.81,5785742,1659.19,A-2
30-Apr-83,1630.63,1.33,5978267,1631.97,A-2
31-May-83,1715.55,1.23,7917323,1716.77,A-2
30-Jun-83,1729.4,1.07,7178000,1730.47,A-2
31-Jul-83,1275.81,0.71,6201516,1276.52,A-2
31-Aug-83,803.71,3.55,3424290,807.26,A-2
30-Sep-83,776.13,10.7,5289833,786.83,A-2
31-Oct-83,1159.55,7.26,6328452,1166.81,A-2
30-Nov-83,1061.3,5.07,6090533,1066.37,A-2
31-Dec-83,687,0.45,5670710,687.45,A-2
31-Jan-84,505.35,1.23,5485129,506.58,A-2
29-Feb-84,626.14,4.1,4897483,630.24,A-2
31-Mar-84,862.03,116.45,6589839,978.48,A-2
30-Apr-84,737.03,46.57,4518333,783.6,A-2
31-May-84,737.71,71.32,4621129,809.03,A-2
30-Jun-84,517.77,34.53,4244500,552.3,A-2
31-Jul-84,711.19,217.87,5189032,929.06,A-2
31-Aug-84,647.35,11.39,6081774,658.74,A-2
30-Sep-84,570.73,7.43,6135933,578.17,A-2
31-Oct-84,596.48,9.29,5335258,605.77,A-2
30-Nov-84,528.17,6.3,6917967,534.47,A-2
31-Dec-84,450.81,5.65,6020484,456.45,A-2
31-Jan-85,422.94,5.13,5980516,428.06,A-2
28-Feb-85,408.25,4.68,5807214,412.93,A-2
31-Mar-85,366.55,5.03,4798677,371.58,A-2
30-Apr-85,362.27,5.13,4979433,367.4,A-2
31-May-85,343.74,4.06,4681355,347.81,A-2
30-Jun-85,299.1,5.03,4553867,304.13,A-2
31-Jul-85,82.13,1.52,1677774,83.65,A-2
30-Sep-85,483.7,7.9,4119967,491.6,A-2
31-Oct-85,43.32,0.94,447645,44.26,A-2
30-Nov-85,32.4,0.07,284833,32.47,A-2
31-Dec-85,345.32,27.55,3270419,372.87,A-2
31-Jan-86,241,5.71,4547742,246.71,A-2
28-Feb-86,215.57,7.64,4395821,223.21,A-2
31-Mar-86,256.84,5.71,4398548,262.55,A-2
30-Apr-86,306.67,6.2,3783133,312.87,A-2
